coef_dem,coef_w10,coef_d10,coef_t2m,coef_aod_sat,coef_tp,bias,Pred_PM2_5,id,dataset_belong,denormalized_pred_result
-19.861336,4.165568,-0.434687,11.620687,80.39821,-10.018336,-12.142932,47.43788,140,train,47.43788
-23.499983,2.935243,-0.5217665,20.386023,72.56309,-19.182524,-6.338878,48.05965,615,train,48.05965
-22.438787,4.893899,-0.4938025,15.528888,72.29854,-14.286875,-5.5680847,47.53518,955,train,47.53518
-10.258419,4.0856028,-0.40626532,21.158472,40.712826,5.0717564,-8.088688,26.40371,977,train,26.40371
-36.23914,-0.96711636,-0.8042972,43.762962,19.731394,-27.148552,23.46423,50.487667,278,train,50.487667
-0.8712559,-8.63783,-0.99420726,-0.18855165,79.39417,-21.731495,9.530202,25.043875,613,train,25.043875
-14.292773,1.4154162,-0.62030286,30.794912,0.4427893,10.841202,9.597429,32.506664,717,train,32.506664
0.999964,3.9638824,-0.5330757,5.84459,50.19037,18.104513,-3.7152455,23.767483,1325,train,23.767483
-15.697495,5.9073644,-0.40520847,6.6238704,74.055786,3.2067337,-12.389879,45.915825,1355,train,45.915825
-10.221797,11.03468,-0.2978715,-11.4251795,98.2981,9.812149,-16.00779,47.57447,491,train,47.57447
2.50691,1.139919,-0.51734513,1.3357862,54.087067,19.634699,-4.0676184,20.34839,1226,train,20.34839
-0.56963044,2.0501003,-0.51242894,4.1571774,43.95702,19.116539,-2.704489,30.401411,1212,train,30.401411
-13.393987,3.421067,-0.2788696,8.659278,49.65443,1.8817652,7.549495,52.542625,1384,train,52.542625
-14.477824,5.704198,-0.39277083,11.627515,59.789547,6.486918,-9.343348,37.02642,813,train,37.02642
3.5211978,-12.944623,-1.3375367,6.627133,93.237724,-38.855843,8.996914,21.60079,912,train,21.60079
5.4785113,-4.427935,-0.4793644,-4.9770846,61.830383,14.998553,-0.5476225,23.677107,1223,train,23.677107
-9.887512,3.1098633,-0.4992376,21.061466,33.422955,9.271164,-2.9136078,36.574112,507,train,36.574112
-8.593901,9.560871,-0.22321054,-3.7867737,83.77998,3.955078,-13.58711,30.35398,50,train,30.35398
-23.536776,5.3661942,-0.64060223,4.27678,24.1324,6.983283,34.84768,58.647247,494,train,58.647247
-35.98511,-0.6519935,-0.7977501,43.10027,20.856558,-26.798147,22.927948,50.240875,276,train,50.240875
-22.012962,-0.06997932,-0.76544416,46.80115,-19.313227,0.9684046,20.425812,38.05066,351,train,38.05066
-3.6149125,-2.0135367,-0.3843761,17.157455,44.18719,2.0284402,-3.296362,28.029276,1360,train,28.029276
15.109643,-64.22114,-1.3333728,25.428064,149.72493,-77.8288,29.404528,40.140167,758,train,40.140167
-9.285429,17.358625,-0.38656205,-25.471699,116.19214,13.880735,-26.672892,28.95501,99,train,28.95501
-25.976973,8.13012,-0.6887958,65.38094,21.602278,-10.780407,6.614513,29.441612,1273,train,29.441612
-8.6354475,15.389312,-0.55002075,-27.161203,98.02499,12.516029,-14.148858,33.432102,571,train,33.432102
-11.46618,9.766146,-0.38265324,-2.4289553,74.71383,15.7319355,-14.050534,38.51303,131,train,38.51303
-4.4807982,6.47994,-0.8162334,-17.23158,74.85475,0.9823148,0.88712555,29.736721,105,train,29.736721
-36.16931,-1.0405275,-0.80347675,43.90255,19.73947,-26.912882,23.17556,50.53744,275,train,50.53744
-31.448837,-5.945691,-0.8825449,31.326023,-19.97505,-13.173975,69.25483,69.77696,38,train,69.77696
0.6218175,-1.9642763,-0.437925,4.492465,54.2716,13.221741,-5.0908995,34.62896,1143,train,34.62896
-22.30437,9.369822,-0.57693607,1.8362577,51.64137,3.5548062,15.3404455,59.301186,154,train,59.301186
-5.5756006,10.281408,-0.75589687,-23.222925,80.19336,6.990808,-3.1747174,30.054852,889,train,30.054852
-11.736158,9.197885,-0.33110216,-7.2818046,85.151306,9.396413,-7.683935,50.10006,762,train,50.10006
-14.150589,15.134627,-0.57298744,31.945919,-14.305039,4.9994063,34.952282,46.712753,406,train,46.712753
-0.8807546,-8.163054,-0.99899423,-0.56910723,79.216446,-21.496521,9.343432,25.044727,610,train,25.044727
1.3481705,-0.7167771,-0.45897302,1.2274399,51.713116,17.454082,-4.5522327,33.340984,339,train,33.340984
-13.311273,9.176189,-0.34844005,-5.9270196,97.52968,5.77041,-21.328619,42.012863,185,train,42.012863
-21.106539,2.685261,-0.8031515,45.96993,-14.404873,-2.9044166,20.697264,41.57847,1162,train,41.57847
-22.544754,-0.7740449,-0.6810634,44.292328,-11.357764,10.091461,13.616279,42.71814,1123,train,42.71814
-40.055973,-4.9501657,-0.9221223,54.846214,7.8267117,-28.657686,26.662031,51.448807,658,train,51.448807
7.336044,-7.4899,-0.49232894,-3.3962495,68.09335,10.295212,-0.18836942,21.282902,1232,train,21.282902
-32.64702,-3.6582918,-0.7966213,49.387505,0.94797283,-12.598605,21.076588,48.936943,667,train,48.936943
-1.0221603,-2.5567315,-0.4261439,8.415277,54.00464,9.485091,-5.3061514,34.97018,542,train,34.97018
-7.4992332,11.032358,-0.32599485,-10.39291,78.86634,5.6928244,-9.111503,22.125736,569,train,22.125736
-12.513242,5.121945,-0.75609934,30.74832,14.349591,2.1505458,13.900539,49.968056,1169,train,49.968056
