station_id,lng,lat,date,PM2.5,row_index,col_index,proj_x,proj_y,dem,w10,d10,t2m,sp,tp,blh,e,r,u10,v10,aod_sat,ndvi
1060A,114.9032,40.7688,20170930,21.73214285714285,2057.0,6632.0,1517293.9878300074,1454314.902552071,732,0.6945805549621582,289.9659423828125,289.2547302246094,91382.21875,0.0004981766105629,99.70896911621094,-4.700078079622472e-06,50.9272575378418,-0.6528467535972595,-0.2371354550123214,0.4235719740390777,2784
1061A,114.904,40.8725,20170930,27.69642857142857,2040.0,6633.0,1514805.6162883672,1466735.844796198,902,0.8359333276748657,291.5774230957031,288.0531616210937,89368.4140625,0.0004823928466066,126.79542541503906,-5.152908215677599e-06,51.94765853881836,-0.7773699760437012,-0.3073767125606537,0.3989690840244293,4962
1062A,117.9664,40.9161,20170930,19.142857142857142,2034.0,7123.0,1742668.2442399214,1522703.1278227607,361,0.699833333492279,180.06561279296875,289.9857788085937,95542.375,0.0005229319795034,103.85028839111328,-6.423997547244653e-06,60.61782836914063,-0.0008206415805034,0.6998328566551208,0.5158467292785645,5725
1063A,117.9525,40.9843,20170930,18.732142857142858,2023.0,7120.0,1739704.030690676,1530562.8875486013,372,0.5976558923721313,182.5586395263672,289.8142395019531,94891.96875,0.0007315700640901,98.79168701171876,-6.072947599022882e-06,59.68157577514648,-0.0266797076910734,0.5970600843429565,0.5181764364242554,5513
1064A,117.963,40.9359,20170930,30.035714285714285,2030.0,7122.0,1741854.7753274036,1524996.1113907455,404,0.6621944308280945,181.05186462402344,289.92706298828125,95297.265625,0.0005983937880955,102.05029296875,-6.29668738838518e-06,60.280982971191406,-0.0121554201468825,0.662082850933075,0.5967780351638794,6293
1065A,117.8184,40.9733,20170930,21.428571428571427,2024.0,7099.0,1730033.055008314,1526887.4904631914,447,0.6678563356399536,28.072378158569336,289.8681030273437,95206.7109375,0.0008546673925593,88.42176055908203,-5.411854090198176e-06,59.86515808105469,0.3142757415771484,0.5892901420593262,0.6254462003707886,3974
1066A,117.9384,41.0112,20170930,23.423076923076927,2018.0,7118.0,1737894.4564492642,1533510.946496051,384,0.5506740212440491,182.83041381835935,289.71337890625,94575.1953125,0.0008353164885193,97.87454223632812,-5.954681000730488e-06,59.42051696777344,-0.0271906163543462,0.5500022768974304,0.5237298011779785,5693
1067A,116.6838,39.5178,20170930,38.375,2257.0,6917.0,1684335.0225340093,1334059.1526020237,17,1.7840691804885864,182.35491943359372,295.4382629394531,100948.5703125,8.039190288400277e-05,125.63365173339844,-1.1287642337265424e-05,51.1386833190918,-0.073304608464241,1.7825626134872437,0.7435026168823242,3094
1068A,116.7729,39.5747,20170930,37.74074074074074,2248.0,6932.0,1689617.9894301384,1342357.1982228004,14,1.836729645729065,185.38890075683597,295.36328125,100997.4453125,9.534037235425784e-05,127.74088287353516,-1.1916604307771196e-05,51.541934967041016,-0.1724919825792312,1.8286120891571045,0.749599277973175,4519
1070A,116.7464,39.5343,20170930,42.80357142857143,2255.0,6927.0,1688676.4962491558,1337096.2980085686,15,1.8247034549713133,183.7653045654297,295.4222717285156,100965.8125,8.980491838883609e-05,129.91575622558594,-1.1921867553610356e-05,51.70385360717773,-0.1198243573307991,1.8207648992538448,0.7336576581001282,3624
1071A,116.8854,38.2991,20170930,37.23214285714285,2452.0,6950.0,1732520.5748827572,1192780.4904787843,9,2.2010650634765625,182.6319580078125,295.5547790527344,101050.7890625,5.42632733413484e-05,151.70574951171875,-9.031113222590648e-06,52.69087219238281,-0.1010693311691284,2.1987433433532715,0.6213150024414062,3072
1072A,116.8584,38.3254,20170930,39.142857142857146,2448.0,6945.0,1729712.7047298958,1195425.203871742,10,2.220342874526977,182.5040435791016,295.6114196777344,101058.421875,4.9686350394040346e-05,152.74050903320312,-8.961616913438775e-06,52.69309997558594,-0.0970052108168602,2.2182228565216064,0.6353514790534973,3566
1073A,116.8709,38.3228,20170930,46.17857142857143,2448.0,6947.0,1730755.2991836588,1195336.8228236905,9,2.2156858444213867,182.5907287597656,295.5955810546875,101060.8125,5.086482269689441e-05,152.41001892089844,-8.96182973519899e-06,52.69799423217773,-0.1001503318548202,2.21342134475708,0.6403969526290894,2862
1074A,115.6951,37.7575,20170930,47.0,2539.0,6759.0,1653497.2900325633,1107962.6937265105,22,2.4584577083587646,182.97488403320312,296.4212646484375,100897.9765625,4.865196387981996e-05,207.94869995117188,-1.2701781088253483e-05,51.357608795166016,-0.127585083246231,2.4551448822021484,0.6302980184555054,3844
1075A,115.6426,37.7379,20170930,54.05357142857143,2542.0,6751.0,1649861.2772532338,1104751.1091996492,22,2.4645259380340576,183.113037109375,296.4242248535156,100874.5703125,5.252251503407024e-05,210.1839599609375,-1.3099749594402963e-05,51.203857421875,-0.1338334083557129,2.460889339447021,0.6261756420135498,2995
1076A,115.6906,37.739,20170930,48.32142857142857,2542.0,6758.0,1653612.9397437049,1105688.7035881423,23,2.461742401123047,183.05340576171875,296.4115600585937,100887.921875,5.274252180242911e-05,208.9675445556641,-1.3001044862903656e-05,51.40536117553711,-0.1311247050762176,2.458247661590576,0.6341663599014282,2527
1077A,114.4821,37.0967,20170930,60.185185185185176,2645.0,6565.0,1573699.916514014,1009473.4672055868,73,1.9459189176559448,27.25058364868164,295.93438720703125,99737.203125,0.0001773066614987,177.71710205078125,-9.828067049966194e-06,56.39112854003906,0.890978991985321,1.7299586534500122,0.5799354314804077,2932
1078A,114.5261,37.0533,20170930,57.66071428571429,2652.0,6572.0,1578246.8061086051,1005016.6899581857,66,1.9947651624679563,21.9824333190918,296.13775634765625,100029.0703125,0.0001904640375869,187.572509765625,-1.030702787829796e-05,56.201416015625,0.7466641068458557,1.8497514724731443,0.5494175553321838,2728
1079A,114.5331,37.0964,20170930,69.55555555555556,2645.0,6573.0,1577772.3796544997,1010255.6452998648,63,2.0105576515197754,21.487552642822266,296.1547546386719,100050.140625,0.0001699555723462,186.5095977783203,-1.0177599506278057e-05,55.757568359375,0.7364445328712463,1.8708263635635376,0.5698723793029785,4543
1080A,114.4854,37.062,20170930,56.53571428571429,2650.0,6566.0,1574792.4509487925,1005398.5112661044,76,1.9505615234375,26.283159255981445,295.9897766113281,99825.8671875,0.0001900964562082,180.6547698974609,-1.0002324415836483e-05,56.533912658691406,0.8637000322341919,1.748917579650879,0.5468434691429138,2132
1081A,112.522,37.8873,20170930,58.0,2518.0,6252.0,1400116.059778645,1074131.8859409844,789,0.2159502506256103,21.09225273132324,291.1309509277344,90977.765625,0.0002365412656217,65.24301147460938,-5.492453055921942e-06,61.05958557128906,0.0777119919657707,0.2014829069375991,0.4272824823856354,2809
1083A,112.434,38.0108,20170930,44.33333333333334,2498.0,6237.0,1390508.729158474,1087657.9898207595,887,0.4485034942626953,51.74446105957031,289.6440734863281,88917.7421875,0.0003861614968627,56.42270660400391,-5.013256213715067e-06,62.61519241333008,0.3521831631660461,0.2777092158794403,0.3852676153182983,5330
1084A,112.469,37.7124,20170930,64.14285714285714,2546.0,6243.0,1399684.6395390064,1052458.5448626748,770,0.2091604173183441,45.54083633422852,290.88385009765625,90176.1875,0.0002407818537903,72.06354522705078,-6.169630978547502e-06,60.016700744628906,0.1492847949266433,0.1464996039867401,0.4847020804882049,2820
1085A,112.5583,37.7394,20170930,49.981481481481474,2542.0,6257.0,1406180.4717640025,1056962.193499744,773,0.3319089412689209,200.5497283935547,291.5626525878906,91368.3828125,0.0001927013654494,76.2880630493164,-6.169371317810146e-06,59.918792724609375,-0.116503469645977,0.310790091753006,0.4439438581466675,3540
