station_id,lng,lat,date,PM2_5,row_index,col_index,proj_x,proj_y,dem,w10,d10,t2m,sp,tp,blh,e,r,u10,v10,aod_sat,ndvi
1659A,119.4641,35.4178,20170601,41.96218487,2913,7362,2018749.783,902246.3748,15,0.328011721,229.0926514,286.4263306,101229.4531,0.000835942,328.4160461,-5.12127e-05,66.17008209,-0.247895807,0.21480073,0.68579483,2297
1660A,119.5198,35.4234,20170601,41.30501393,2912,7371,2023083.251,904047.8419,29,0.415533125,228.1508789,286.5542908,101158.75,0.00082856,347.9267578,-5.97478e-05,65.79637909,-0.309525549,0.277239442,0.689523339,2671
1661A,119.54,35.3962,20170601,42.57464789,2917,7374,2025527.588,901278.7395,8,0.455493599,230.3441315,286.6143799,101210.8516,0.000822518,359.7850037,-6.46903e-05,65.52081299,-0.35067302,0.29069373,0.682033181,2252
1662A,122.1206,37.4294,20170601,27.61864407,2591,7787,2166234.705,1194199.033,49,0.803479731,62.70717239,285.1461182,101083.7813,0.000853198,471.1765137,-6.81902e-05,66.57131958,0.714020133,0.368449271,0.591804385,3925
1665A,118.5019,37.4658,20170601,50.71587744,2586,7208,1882119.232,1123918.835,5,0.967041969,225.3577423,285.8274536,101685.8594,0.000737644,213.9183502,-1.76364e-05,53.44158936,-0.688042283,0.679535091,0.759425759,1888
1666A,118.6672,37.4314,20170601,46.0,2591,7235,1896097.456,1123039.327,3,1.088632822,225.6043396,285.9559326,101712.8984,0.000692601,246.7866974,-3.30833e-05,54.03356934,-0.777838171,0.76163584,0.762271285,2687
1667A,118.5857,37.4442,20170601,50.74328358,2589,7222,1889324.677,1122979.022,3,1.018675447,225.4268494,285.8803406,101704.1953,0.000712919,230.8400879,-2.55836e-05,53.74921417,-0.725641906,0.714942992,0.759936035,2616
1669A,113.586606,24.769519,20170601,36.18194444,4617,6422,1778356.609,-446737.7104,76,0.164397284,326.3635864,293.2125244,99861.25,0.002506563,161.2261047,-1.04936e-05,75.91668701,-0.091073401,-0.136865273,0.564152837,3361
1670A,113.5593889,24.81119444,20170601,36.51396648,4610,6417,1774872.706,-442465.1156,83,0.119470909,359.6052246,293.1229858,99516.77344,0.002608585,153.9846191,-1.02474e-05,75.82808685,-0.000834516,-0.119467996,0.555465877,5077
1671A,113.598061,24.795928,20170601,31.37429379,4613,6424,1778861.143,-443511.2655,86,0.158265471,316.9199219,293.2704773,99853.49219,0.002434323,161.2541962,-1.04215e-05,75.90643311,-0.108106621,-0.11558944,0.551126122,4904
1672A,113.6734722,24.77908333,20170601,34.24229692,4615,6436,1786357.567,-444068.7309,109,0.293609947,292.8977661,293.0881042,99527.21875,0.002214485,172.4920959,-1.06398e-05,76.00717163,-0.270480275,-0.114224441,0.543126583,5945
1673A,113.5970833,24.68636111,20170601,38.7745098,4630,6424,1781167.704,-456052.303,73,0.2482678,321.5082397,293.0586548,99833.8125,0.002538019,169.159668,-1.0991e-05,76.30568695,-0.154536545,-0.194307387,0.56836319,4352
1674A,116.6794,23.3667,20170601,24.04929577,4841,6917,2105426.719,-544986.0802,11,1.956584573,282.5606689,294.9193115,101028.1328,0.002088661,339.1417236,-5.81948e-05,80.44031525,-1.909778714,-0.425403595,0.397007704,2273
1675A,116.7244,23.3633,20170601,19.99022346,4842,6924,2109811.824,-544404.5089,8,2.15453577,283.184082,294.9730835,101148.1875,0.00205156,354.6831665,-6.70754e-05,80.52487946,-2.097773314,-0.491295993,0.416325361,2540
1676A,116.7258,23.2775,20170601,21.45567867,4856,6924,2112121.305,-554053.7485,18,2.458545923,283.6779175,295.0837708,101214.3203,0.002042381,387.1519165,-8.64682e-05,80.65623474,-2.38885355,-0.58122921,0.40844658,2658
1677A,116.7519,23.4714,20170601,30.35614525,4825,6928,2109693.098,-531613.8745,6,1.73174572,282.6190796,294.8141785,101162.0938,0.002144465,322.5917053,-4.62446e-05,80.42146301,-1.689933777,-0.378242075,0.394721866,2589
1678A,116.6092,23.2539,20170601,24.50423729,4859,6905,2101564.77,-559215.9042,27,2.059513807,282.8687744,294.9584656,101095.2734,0.002129409,356.4177246,-5.92966e-05,80.64022827,-2.007808685,-0.458586454,0.412594229,3220
1679A,116.4019,23.2536,20170601,29.83704735,4860,6872,2081733.081,-563662.5741,6,1.18530345,281.2310791,294.513916,100616.0781,0.002322017,298.2737732,-2.39391e-05,80.19814301,-1.162616491,-0.230796665,0.414222956,3275
1680A,110.3539,21.2706,20170601,25.63165266,5177,5905,1534712.054,-899260.9562,20,1.636835337,259.013092,295.7459412,100946.1172,0.003391973,305.9963379,-1.83328e-05,81.19696808,-1.606820703,0.312020898,0.465937406,3658
1684A,110.3316,21.2679,20170601,25.9859944,5177,5901,1532549.208,-899914.3795,30,1.630625367,259.1130371,295.7373657,100906.1563,0.003400438,302.6914978,-1.81729e-05,81.16773987,-1.601264477,0.308044285,0.46582824,3771
