监测点编码,监测点名称,城市,经度,纬度,date,PM2_5,row_index,col_index,proj_x,proj_y,dem,w10,d10,t2m,sp,tp,blh,e,r,u10,v10,aod_sat,ndvi,id
1018A,前进路,天津,117.202,39.0927,20170601,50.48033708,2325,7000,1735514.748,1292556.453,7,1.049154043,190.5059357,285.3424377,101628.2266,0.000783038,200.5014801,-2.15297e-05,49.92195129,-0.191293985,1.031567097,0.86217165,2368,14
1223A,滨江,杭州,120.211,30.21,20170601,38.86072423,3746,7482,2237566.416,313608.5252,10,0.879980564,300.7580566,289.8270569,101484.2578,0.002470908,243.5818634,-2.14523e-05,71.52324677,-0.756225705,-0.449987262,0.688420773,2181,190
1215A,盐城电厂,盐城,120.118,33.4022,20170601,41.83611111,3236,7467,2132971.177,680817.9139,2,0.971559227,254.0597534,287.111084,101749.8984,0.001975715,250.6370239,-1.09549e-05,69.5666275,-0.934191287,0.266859472,0.69275707,3148,184
2005A,金坛市自来水公司,金坛,119.579,31.737,20170601,43.87361111,3502,7381,2137585.045,475831.9158,7,1.140962839,262.5109863,288.556366,101615.8828,0.001997268,262.714447,-3.03991e-05,69.50246429,-1.131224036,0.148756579,0.757739007,2625,804
1034A,人民会堂,石家庄,114.5214,38.0524,20170601,75.23955432,2492,6571,1553921.372,1123903.548,78,0.650838554,34.59516525,286.027832,100525.2734,0.000993834,128.5818024,-8.92902e-06,51.25087738,0.36951983,0.535766661,0.82115227,2190,24
2187A,市林业局,乌海,106.8089,39.6969,20170601,36.94972067,2229,5337,919926.2561,1224635.274,1089,0.572850943,181.8816528,284.4541931,88340.05469,0.000255678,352.4972534,-5.91208e-06,33.28762817,-0.018809484,0.572542071,0.378238142,2341,851
2627A,日喀则鸿达公司,日喀则地区,88.8931,29.2365,20170601,7.04398827,3902,2471,-554828.8507,-73374.42296,3852,0.850846112,182.5454559,281.3746643,62114.77344,0.00087887,644.1260986,-6.85687e-06,31.08370018,-0.037786577,0.85000664,0.09649995,2296,1246
1842A,点军区,宜昌,111.268,30.696,20170601,53.72980501,3669,6051,1443612.383,202603.2384,66,0.245019481,347.559021,289.3479614,98002.59375,0.002270184,116.4564972,-7.68385e-06,73.56494904,-0.052806057,-0.239261493,0.748569667,4304,658
2484A,市四医院,怀化,109.9792,27.5342,20170601,39.37083333,4175,5845,1387051.071,-185808.7649,242,0.640944958,334.614502,290.0126038,96884.32031,0.002468085,192.8009949,-1.07342e-05,74.45547485,-0.274823219,-0.579035997,0.711530209,2719,1120
1323A,河医大,郑州,113.6356,34.7538,20170601,63.08240223,3019,6430,1559608.928,717793.6263,107,0.650875986,207.8070679,288.1161194,100237.3828,0.00101989,215.631958,-1.23793e-05,58.86881256,-0.303622603,0.575719416,0.839287639,1995,270
2574A,凉山州政府,凉山州,102.2689,27.8847,20170601,22.76470588,4119,4611,672034.5081,-225568.9816,1523,0.330293238,232.4882965,289.5105896,82352.80469,0.001930135,194.1278076,-3.33858e-06,62.36984253,-0.261992723,0.201130405,0.282879651,3967,1200
2360A,体育馆,鹰潭,117.0222,28.2264,20170601,34.38687151,4064,6972,2011906.169,16288.28314,40,0.810566664,316.0727234,291.730011,100755.4453,0.002411164,175.9455719,-1.43734e-05,70.96355438,-0.56236738,-0.583747625,0.609263718,3057,1010
2475A,市审计局,郴州,113.0383,25.8071,20170601,32.6800554,4451,6334,1704398.926,-337510.4259,192,0.240424827,333.8120117,291.1817932,98075.71094,0.002024018,219.5547943,-1.09133e-05,76.63010406,-0.10612078,-0.21573706,0.661989987,2535,1111
1932A,三陆医院,宝鸡,107.1906,34.3672,20170601,50.35434174,3081,5398,1029508.115,586781.8682,596,0.305412918,13.86052036,285.8243103,91975.97656,0.001493757,105.6873093,-3.97722e-06,66.20861816,0.073162362,0.296520352,0.529422343,2810,736
1980A,山东成山轮胎公司,荣成,122.41,37.161,20170601,18.70396601,2634,7834,2197722.335,1169290.105,27,0.750730753,81.57907104,284.5595398,101011.3281,0.000867269,413.0947571,-4.38782e-05,68.79725647,0.742632449,0.109971464,0.569379807,2367,780
1109A,甘井子,大连,121.6119444,38.97388889,20170601,30.28830084,2344,7706,2076360.891,1364078.986,23,0.200011507,115.6109848,284.403717,101277.9688,0.000439464,492.7960205,-9.28801e-05,61.71054459,0.180365443,-0.086445987,0.628965855,2263,92
1280A,鼓山,福州,119.389,26.0542,20170601,24.21186441,4411,7350,2286633.379,-180241.4635,350,0.856737316,324.4451599,291.8222656,99741.82813,0.002665866,324.4317017,-3.70487e-05,83.3534317,-0.498229057,-0.696969628,0.415077567,5913,236
2647A,豫源饭店,白银,104.1731,36.5458,20170601,42.94827586,2733,4916,750994.7195,821225.1675,1715,1.355695367,303.5161133,282.9290466,81715.86719,0.000577497,367.8388062,-6.98244e-06,44.23310471,-1.130332232,-0.748504579,0.314399362,1764,1263
1689A,高岭,茂名,110.8592,21.6828,20170601,29.20142857,5111,5985,1577195.653,-844612.331,16,1.385302186,254.2406921,295.6589355,101002.3594,0.003173307,258.4579773,-1.73949e-05,80.11118317,-1.333215833,0.376294553,0.473231673,4321,522
2483A,河西地税局,怀化,109.9453,27.5444,20170601,36.36023055,4173,5839,1383754.268,-185099.5222,238,0.65212518,337.4970703,290.1321716,97366.92969,0.002540052,199.850769,-1.102e-05,74.59181213,-0.249636829,-0.602452219,0.718379259,3245,1119
2454A,湖北民院,恩施州,109.5039,30.2989,20170601,41.26966292,3732,5769,1295229.587,131312.6263,456,0.183219969,16.68285751,288.5693054,92793.67969,0.00296109,106.9549866,-3.53988e-06,75.58926392,0.052596148,0.17550841,0.661848068,3550,1090
2618A,州监测站,怒江州,98.8601,25.8567,20170601,19.85755814,4443,4066,366466.9035,-481398.4167,1044,0.494122148,95.02560425,287.450531,80397.75,0.003521879,36.58598328,-9.08586e-07,77.62693787,0.492224693,-0.043261465,0.214865834,5357,1238
2502A,市环保站,钦州,108.6236,21.9667,20170601,28.71488764,5065,5628,1351905.71,-845706.4135,10,0.263568163,304.5966797,294.9052734,100714.7266,0.002841118,276.7215271,-2.36491e-05,78.1467514,-0.216970816,-0.149639025,0.512249649,3318,1135
