dem,w10,d10,t2m,aod_sat,tp,PM2_5
0.2433149,0.38269627,0.6556262,0.6474254,0.5360638,0.50522053,26.475645
0.28618786,0.05134448,0.17978263,0.6743505,0.19211069,0.058937527,133.80057
0.0041988953,0.18325208,0.69215095,0.87902045,0.37551594,0.5180445,27.336134
0.055911604,0.22918296,0.1665373,0.10951302,0.25412196,0.26006544,18.822485
0.22497237,0.4263513,0.96523577,0.19791578,0.08058409,0.18735878,9.540786
0.008397791,0.31223232,0.7174106,0.6873853,0.7197642,0.54055125,52.021008
0.010828729,0.2158569,0.1457821,0.4562156,0.5360203,0.15461493,33.10894
0.017016575,0.33252415,0.88889575,0.75155044,0.7571866,0.4872003,34.883286
0.0070718233,0.050748397,0.3150041,0.5356128,0.5770135,0.09668119,28.5
0.0037569061,0.2391682,0.6237168,0.59259486,0.7243753,0.18943141,54.07542
0.08508287,0.2637873,0.31973717,0.78215003,0.8300981,0.24429199,52.01133
0.02519337,0.13532619,0.47468993,0.8181293,0.47475266,0.4896625,47.77147
0.11160221,0.19167016,0.10334384,0.20790456,0.3986859,0.31708688,32.377094
0.0019889502,0.12600744,0.7075334,0.7363317,0.5259153,0.779854,36.984722
0.18276243,0.14991017,0.68249315,0.49984142,0.45047134,0.187677,59.830555
0.10917127,0.1667907,0.46651092,0.7583101,0.7104439,0.24377552,63.726627
0.005745856,0.1824992,0.52110934,0.57137465,0.61149305,0.21229166,33.087322
0.28906077,0.36693206,0.5608666,0.71751857,0.3000281,0.6997759,30.926554
0.020994475,0.3109971,0.54216516,0.41741058,0.51256216,0.24395221,28.875
0.005745856,0.33787927,0.7204171,0.7055814,0.72754097,0.55171794,51.980225
0.003977901,0.24905431,0.70211035,0.92742133,0.46191466,0.7122131,29.469275
0.8134806,0.10161681,0.5377944,0.3316953,0.032025225,0.21420692,13.734375
0.23182319,0.07606633,0.75127035,0.81344676,0.36994755,0.59600914,19.220505
0.15801105,0.13463414,0.7177575,0.5283563,0.61157316,0.24159753,59.665737
0.010828729,0.13663988,0.14778492,0.5315931,0.51499695,0.2208558,19.37712
0.08508287,0.2813043,0.6794682,0.64439654,0.54529667,0.27183062,70.88997
0.31845304,0.39855963,0.18822446,0.3918397,0.33564156,0.19649395,24.923399
0.014143647,0.23268478,0.8594497,0.7215812,0.6162191,0.63635653,34.76264
0.013038674,0.23181105,0.58298457,0.65819716,0.7978656,0.18523163,62.33003
0.06762431,0.16237846,0.36667937,0.79778457,0.93404955,0.290266,47.415043
0.01878453,0.24124539,0.75139695,0.89950156,0.47571534,0.7863042,38.760563
0.25524864,0.37825796,0.65454936,0.64448905,0.5328362,0.5028931,30.360704
0.09259669,0.21942776,0.8650404,0.80168223,0.8691696,0.36198947,36.107243
0.0030939225,0.22019026,0.9049139,0.75985885,0.47690183,0.6570403,32.076057
0.0059668506,0.26258042,0.5583994,0.59645057,0.6788991,0.19245228,52.043335
0.24309392,0.38316286,0.18700685,0.36296627,0.36698446,0.2380419,46.64706
0.013038674,0.25025973,0.8573646,0.79942584,0.59789616,0.71719706,41.766018
0.026961327,0.36559343,0.14375989,0.23125051,0.35125822,0.16636822,27.96122
0.0066298344,0.46112776,0.7152779,0.942827,0.40317702,0.755201,25.797413
0.3407735,0.37779614,0.6921852,0.48009846,0.2586135,0.1663028,48.857346
0.0070718233,0.16559908,0.531631,0.5636842,0.5846289,0.23639327,28.073034
