weight_dem,weight_w10,weight_d10,weight_t2m,weight_aod_sat,weight_tp,bias,Pred_PM2_5,id
-12.283412,5.684169,-0.28200614,5.6581388,38.48686,-12.122896,25.895346,54.17983,156
-6.1343164,7.0744286,-0.088671535,-0.4545274,65.54796,0.865707,-3.7495108,41.379425,785
-8.862748,8.417389,-0.2069969,8.924207,51.177715,-21.074509,14.460075,46.752853,944
-7.6824384,0.17027435,-0.29402584,19.16435,19.659716,-0.7490917,16.697618,42.913227,1018
-17.46907,-3.024672,-0.50013894,23.177803,-1.4330406,-17.881872,50.936172,60.483597,1043
-3.711708,-3.7811232,-0.2653075,5.907831,37.112637,9.888267,6.107745,34.706398,507
-2.168183,-4.5561786,-0.23597686,0.85844356,51.323414,11.013081,0.7097431,34.13117,295
-10.99452,7.877906,-0.24720177,10.860004,43.304844,-18.68402,19.28584,50.503212,226
-16.578527,-7.3724246,-0.38112426,38.39675,28.604614,-9.255492,25.84618,41.15091,835
-2.9368527,7.4670286,0.09516263,28.588436,25.948275,1.6170334,13.285434,35.506226,859
-5.798788,9.387422,0.06324831,34.317608,23.805065,-3.9980652,12.673974,37.589054,752
-2.9281137,-1.3763895,-0.18486953,3.8206098,48.11573,-0.66248643,5.5300336,25.424156,826
-5.4488497,2.542188,-0.29186267,15.447789,27.372551,2.6605592,9.276367,47.34376,694
-2.6357903,-2.348039,-0.19531222,3.2371187,50.238388,1.1507719,3.9079113,25.433266,534
-3.8301353,3.9037056,-0.11636433,5.0126443,50.46099,3.8012109,1.0312772,31.46254,209
-5.7688217,7.747605,-0.09917318,4.020773,59.139156,-8.795041,2.3722212,38.31495,810
-12.260677,1.8707205,-0.38353547,26.984566,1.9292572,-10.159469,26.148855,41.41613,1178
-6.805035,-1.7278237,-0.36706272,18.91691,-0.6334538,12.721467,18.126144,38.30484,1120
-2.1888545,-4.688371,-0.25335294,0.3520151,49.140175,13.456093,0.6750499,33.64333,542
-8.5302105,2.2532234,-0.41486645,-14.693905,65.803604,-23.678097,11.679185,25.320263,895
-6.5593767,-10.150108,-0.73977953,9.994359,69.22891,-64.48696,19.474562,27.561876,919
-9.47953,4.3880715,-0.16086106,-3.2291193,59.6122,-1.13191,10.488815,52.086266,476
-8.915578,0.20322265,-0.3352104,22.176386,9.08139,0.7142515,20.657263,43.857452,1000
-2.6293936,-4.4733233,-0.24605346,2.049272,46.527634,11.860489,1.8574644,35.236004,532
-1.2463452,-2.996521,-0.28030086,-0.32455435,50.94377,12.514069,2.066536,23.469204,1231
-22.28115,-7.302729,-0.56604683,42.395916,9.449603,-29.795828,46.722904,68.0805,556
-8.982654,-0.58639807,-0.36994183,22.72061,0.14697932,5.730663,21.864063,41.58115,1123
-2.5890355,-4.485703,-0.24495447,1.9363,46.95582,11.902796,1.6838714,35.755836,1387
-14.564067,-6.8184276,-0.4290642,25.380348,8.706375,-8.066082,40.88816,59.19706,60
-6.7752247,7.163608,-0.08447483,-2.6591887,69.84544,0.5027246,-4.711993,42.46543,792
-8.592075,9.069197,-0.031322993,-16.448088,93.623314,7.14377,-14.984934,33.491894,260
-18.387115,-9.068347,-0.55128306,32.634987,-1.2560594,-17.359938,52.73099,66.43631,64
-15.66205,2.7824128,-0.40962017,17.008717,11.641206,-16.993408,40.75498,56.03439,1055
-9.014166,11.665843,-0.04536401,-22.766508,95.812294,9.889311,-15.698484,29.13908,486
-2.2598653,-4.638777,-0.24908046,0.7248856,49.1318,12.919997,0.76265067,33.780983,335
-9.266711,4.331849,-0.27750084,19.151577,27.089285,-12.06192,18.053905,43.007076,247
-8.007262,-1.2410545,-0.53031665,-6.458857,63.443153,-36.713844,14.990713,29.22714,121
-7.251107,5.367628,-0.22007765,13.613125,38.24305,-13.807989,13.775098,37.868378,1009
-20.059723,-2.7887077,-0.5566281,29.267454,-7.930019,-28.678818,55.07428,61.174675,271
-1.9123228,-4.8172407,-0.23544042,0.044838827,53.316444,10.281553,0.677402,28.640623,308
-2.166694,-4.6998625,-0.2534284,0.28619313,49.317085,13.45039,0.65079063,33.487057,540
20.71824,-54.088226,-0.39621976,10.006652,135.96602,-69.867165,24.928791,43.074745,419
-6.828276,8.0011835,-0.10202739,0.6921495,64.4723,-10.483365,2.3903391,45.423847,805
-8.834766,10.957146,-0.029169247,-21.449606,97.095505,7.361154,-15.732726,31.473917,773
-17.775728,2.2585204,-0.47698689,28.397903,7.77722,-24.743147,36.65347,50.12905,1379
-9.148148,4.317613,-0.27524778,18.987915,27.282183,-11.893048,17.867208,43.220177,248
-5.9170165,13.830825,0.006453411,35.450302,12.553765,-6.0685472,20.54709,43.320633,1264
-11.132035,10.507796,-0.25756785,-27.031454,72.62613,0.91792566,2.607377,29.960403,880
-5.3152523,5.7832246,-0.102638975,1.6330345,56.176605,10.397459,-3.790978,34.074528,203
-3.1110575,-0.61121696,-0.17099187,4.930222,45.458458,0.18905206,5.7030663,24.354042,461
-8.625396,7.6734214,-0.06999188,-11.578688,80.28279,-0.927069,-3.21819,40.01888,498
-21.748608,0.019644875,-0.44245368,45.62477,27.49369,-30.962858,27.735317,60.429844,723
-5.9222198,13.832919,0.0063685854,35.45855,12.551414,-6.078821,20.54472,43.533012,1263
-8.591999,9.992403,-0.021015026,-19.356224,97.170296,6.5691485,-16.091066,34.231525,775
-5.43028,5.9244924,-0.10129048,1.3665522,56.920734,10.204882,-4.000495,34.71457,1338
-9.140836,7.368588,-0.25067157,27.780373,16.229603,-6.850945,13.64091,43.757637,688
-7.7092485,0.23208065,-0.29386973,19.238857,19.637537,-0.9099329,16.761799,42.924587,1019
-9.147263,2.9767873,-0.12872273,3.9415138,53.0145,2.106322,5.88489,50.718807,16
-22.087603,-0.18294759,-0.5153426,40.41079,11.12442,-34.09902,39.757797,48.389023,1262
-7.832755,8.220964,-0.13462037,-0.25058603,63.29031,-14.015316,7.3214,46.533314,137
-5.916087,7.331336,-0.08998221,1.2698015,63.32983,-3.8331702,-1.0847888,43.13814,1355
-7.4944367,7.9957905,-0.114142396,-1.2105716,65.45241,-11.443415,4.3488884,46.245712,796
-3.4261608,1.8625201,-0.14496045,5.4983735,47.95067,0.23985893,3.9787626,28.38332,991
-5.5590334,2.503987,-0.29227796,15.717031,26.354624,2.5291018,9.480402,47.120373,695
-1.3965095,-5.005829,-0.24926476,-1.6634072,53.79946,13.06892,0.1748246,23.798796,519
-8.920109,7.8120613,-0.07236271,-12.073189,83.27477,-0.111419514,-5.2384253,44.90117,491
-7.9427547,-1.585562,-0.5364193,-5.805189,63.525517,-37.721817,15.176311,28.597609,114
-10.984718,7.826085,-0.24640605,10.201156,43.845062,-18.329697,19.402351,50.238976,231
-10.870965,6.084567,-0.28887442,18.457155,31.505981,-18.194605,19.98268,39.811165,626
-6.1318574,12.990565,0.038503416,35.902122,15.302229,-6.051785,17.510519,39.486256,1294
-4.0164323,-1.2803409,0.019098576,3.506667,51.919353,-1.7277611,3.0880687,15.919428,863
0.0876327,-12.055245,-0.32456246,2.9844487,65.20597,-42.183765,14.721215,12.539876,1404
-1.94347,-4.5513997,-0.27140242,-0.85259414,46.25793,16.69467,0.6932078,34.030296,1138
-19.179502,2.115234,-0.49999243,29.695642,5.301537,-29.475212,40.950104,52.667507,1070
-3.839279,-3.8550065,-0.32244745,7.2042265,24.60834,17.842226,6.868362,37.25795,677
-10.279848,0.4348878,-0.37316915,24.517036,2.236284,-0.3663505,24.09058,43.906876,282
-9.614401,-0.84507155,-0.17102066,15.510577,35.742542,2.2265842,11.81942,47.214813,11
-21.80945,-0.09033576,-0.44190633,45.946125,27.863806,-30.967495,27.556057,62.00936,722
-17.43758,4.129404,-0.22873643,45.141163,42.965977,-20.203363,5.6548657,35.303535,1276
-9.881441,-3.0682285,-0.11953946,32.619617,37.46723,-2.6061213,11.129496,32.429237,79
-10.754431,0.910012,-0.08085961,37.25437,37.58824,-5.7756667,7.620152,30.677626,441
-11.146994,10.317904,-0.26481634,-26.864643,72.26928,0.31877655,2.9935427,29.126083,877
-13.1276865,-6.304705,-0.34589154,25.904764,15.642845,-3.5019898,31.04302,56.774323,40
-14.936664,-2.4040415,-0.42342162,18.571466,8.729285,-10.173381,43.027817,58.11914,1345
-8.144179,7.3251586,-0.111387044,-6.231711,70.544876,-7.374182,3.7230122,46.91461,182
-9.236841,6.4097886,-0.22957318,-21.535873,70.9783,-5.8765497,4.9023643,21.46162,855
-7.5974007,4.4709992,-0.28196043,21.155737,21.218428,-2.4192946,12.217078,47.239334,1191
-7.7844667,5.4443326,-0.013633665,-4.920289,72.096344,0.10108648,-5.06442,32.059338,51
-7.01254,-2.42999,-0.4786523,-6.1395364,64.21688,-36.42631,14.67912,23.700089,610
-17.340416,-10.302073,-0.5141661,33.68481,8.249044,-13.657963,45.936634,65.9232,19
-11.148165,13.137223,-0.14193405,38.968506,10.9284115,-12.951372,14.029291,30.45277,1351
-10.257714,0.55498266,-0.36932823,24.45658,3.0931811,-0.8952544,23.939215,44.245335,283
-4.937804,6.3624063,-0.1037506,5.0994945,55.674297,-4.8764677,2.0282042,35.986904,813
-10.324318,12.814157,-0.10550496,-27.05838,87.71867,9.327662,-8.942375,28.84748,815
