coef_dem,coef_w10,coef_d10,coef_t2m,coef_aod_sat,coef_tp,bias,Pred_PM2_5,id,dataset_belong,denormalized_pred_result
-58.276646,12.059982,-0.16563399,33.356342,-47.315643,-43.669357,76.72941,56.13236,404,train,56.13236
-13.138764,19.982056,-0.08069238,-16.56515,74.14571,7.8168125,-7.357351,30.388515,454,train,30.388515
-9.46023,-18.448984,-0.16714375,-27.587185,66.47772,9.730014,25.580698,11.730742,389,train,11.730742
-30.826084,25.01243,-0.16113043,3.4936376,31.5208,0.8260951,23.359022,53.238598,497,train,53.238598
-86.69328,-2.1255352,-0.23808812,17.64769,-5.912196,-74.35611,79.37722,56.8201,652,train,56.8201
-41.776794,43.930664,-0.16427708,9.471009,37.18349,-4.908181,10.032182,54.629173,930,train,54.629173
-65.59658,-9.20731,-0.20933011,5.1963882,-11.311412,-4.99174,60.26484,45.368652,1190,train,45.368652
-30.621572,10.396252,-0.09697984,5.1457486,42.376183,3.3364713,5.798017,40.54103,191,train,40.54103
-98.22121,-3.9255533,-0.2522045,16.958164,-16.501112,-75.25091,91.225044,65.07446,844,train,65.07446
-83.8112,-18.649637,-0.21990839,20.864115,-17.457,-46.19244,83.65864,57.570274,846,train,57.570274
-42.794895,2.0323508,-0.112215355,13.035025,31.95912,2.9406276,9.68454,38.79265,684,train,38.79265
-26.507322,-2.345556,-0.10756854,0.19257344,42.324516,13.000379,9.867642,43.981663,170,train,43.981663
-33.204876,4.505648,-0.098229714,15.972531,25.375347,-1.8751248,12.340169,34.68573,1148,train,34.68573
-9.807723,1.2270279,-0.09887785,-23.781052,83.85629,-9.422682,3.9798431,23.9093,853,train,23.9093
-70.19052,-25.013855,-0.224986,26.633364,-18.5155,-49.443844,81.07172,63.517395,19,train,63.517395
-84.96144,-22.331732,-0.23278956,22.406555,-45.558987,-29.005316,81.588264,36.959503,352,train,36.959503
-25.302675,-61.95591,-0.23833859,7.7664843,105.0392,-57.273434,53.54416,58.059204,1322,train,58.059204
-34.77266,-10.488245,-0.09629093,6.4697485,41.29331,-1.4426156,11.94571,30.027897,538,train,30.027897
-39.500435,6.0396104,-0.10659757,-7.100558,5.096491,24.563711,46.894722,33.528774,746,train,33.528774
-46.52145,16.377306,-0.10048829,27.599989,21.19859,-63.86586,37.224907,35.119286,79,train,35.119286
-23.767385,23.997255,-0.19971822,-17.84493,13.295946,-22.845354,57.809788,58.037086,1385,train,58.037086
86.35734,-39.708076,-0.19764426,101.504684,92.61702,-159.26422,22.293455,95.28368,1310,train,95.28368
-23.399397,-0.708718,-0.1006932,-2.7009604,42.56196,15.556662,9.438128,42.206974,167,train,42.206974
-58.150723,14.838873,-0.18668354,15.6258545,-35.88305,-30.66666,83.78744,51.65053,408,train,51.65053
-55.970325,24.398758,-0.08137126,23.678429,-27.82154,-3.5612886,45.64117,31.241125,866,train,31.241125
-34.267418,-10.440306,-0.09418611,7.07162,38.91109,-1.0145223,12.188368,29.321638,534,train,29.321638
-26.730331,-13.949635,-0.11583345,-0.012485307,54.48936,4.231008,8.629546,26.421547,517,train,26.421547
-11.032748,15.226201,-0.09833901,-31.938824,78.46567,22.380556,-3.4344761,32.66297,83,train,32.66297
-92.64452,-9.33118,-0.2180207,43.211517,42.549767,-30.76477,12.528058,47.004276,948,train,47.004276
-71.930855,-5.96635,-0.17028008,27.935265,-3.2063544,-52.81151,64.220024,38.97869,837,train,38.97869
-111.17405,-26.43417,-0.26708338,7.9440374,-1.373243,-21.461868,63.264713,42.898384,1181,train,42.898384
-87.46192,-18.212902,-0.23578587,12.151591,-20.990448,-46.692253,92.48455,58.841072,73,train,58.841072
-10.588455,-33.0847,-0.1504593,-1.2409799,105.28642,-87.71842,25.858612,28.07032,601,train,28.07032
-61.95267,-18.646118,-0.20352206,11.888718,-11.909084,-15.575868,60.564518,43.651108,1165,train,43.651108
-55.614086,-0.54070896,-0.1676411,34.517326,27.58589,-21.976238,16.856647,46.567814,620,train,46.567814
-24.824057,12.109028,-0.122441895,9.867955,74.18898,0.10581787,-13.376402,47.29798,181,train,47.29798
-30.085148,-0.7979808,-0.10460687,20.275995,41.95745,-17.631449,10.367047,47.247173,28,train,47.247173
-17.963186,11.234168,-0.07399935,12.667612,51.50569,-30.083597,4.712755,30.381561,52,train,30.381561
12.568283,23.264105,-0.120907255,-26.121857,85.041794,-6.1862354,-4.127407,27.982954,912,train,27.982954
5.449136,24.768303,-0.12394791,-33.251266,88.36538,9.942331,-9.278989,26.181204,902,train,26.181204
-28.819965,-4.4750156,-0.115718946,4.7570386,46.503212,10.612134,6.7456074,46.71201,173,train,46.71201
-41.9218,-10.478739,-0.1370974,31.43221,8.805494,-23.52042,34.285122,50.566555,15,train,50.566555
-96.66626,-6.029343,-0.20228574,31.517206,1.3489442,-4.456154,26.96105,44.287598,1084,train,44.287598
-29.951294,1.0022064,-0.094803065,29.75854,36.094788,-52.692474,20.784239,28.057392,48,train,28.057392
-12.869655,-20.847794,-0.119301796,36.194027,21.77137,-1.0926453,7.9817295,27.3022,1224,train,27.3022
-51.64937,13.400081,-0.17448345,-3.208725,-8.242897,-15.238586,71.43816,36.62956,1287,train,36.62956
-29.366446,-14.55646,-0.11779095,-1.3934234,56.668056,4.4790154,9.576474,27.571615,521,train,27.571615
-65.15909,18.501715,-0.19865826,9.824202,5.386476,-17.288036,45.316452,48.063972,688,train,48.063972
-64.91167,6.9530745,-0.20235641,29.316542,16.005241,-30.171097,30.854517,47.77616,819,train,47.77616
-10.78553,14.47317,-0.12207048,-43.842865,92.24436,33.18255,-9.020462,32.570152,893,train,32.570152
-92.710884,8.460058,-0.19150205,26.38696,-25.30071,0.8105956,40.882645,43.616413,668,train,43.616413
-55.852596,24.346573,-0.081261024,23.670786,-27.932411,-3.3099675,45.626026,32.879784,865,train,32.879784
-42.646835,-11.00465,-0.13946417,32.08619,6.8801017,-23.59955,35.664635,50.568977,12,train,50.568977
-65.88555,-5.094768,-0.22096571,23.167892,40.854343,-48.92274,30.02254,57.423866,1054,train,57.423866
-49.917667,22.407476,-0.16940597,22.264933,-27.334,-46.31055,69.77059,26.913666,1284,train,26.913666
-67.40972,15.741963,-0.101278186,23.638578,-25.425781,-11.910428,49.454155,38.00946,1292,train,38.00946
-14.524608,-16.136524,-0.12639157,20.032074,36.224834,-4.9816866,15.023066,16.961788,1219,train,16.961788
-35.67756,8.639428,-0.15814225,12.790771,31.295498,-4.0812893,24.003809,54.37855,764,train,54.37855
-105.777565,-13.040912,-0.21180697,6.5335994,-7.623658,-25.673864,74.05316,48.89702,737,train,48.89702
-26.582392,18.69175,-0.20560613,-10.140176,42.641174,-39.29079,40.843105,60.955433,263,train,60.955433
12.086142,6.749375,-0.12357251,-12.528114,90.993706,-47.311226,8.394147,20.044472,914,train,20.044472
-96.78378,-24.351109,-0.18360461,44.965965,50.66345,-9.928359,-11.300498,36.54483,250,train,36.54483
-13.573555,19.539627,-0.07711555,-10.880277,70.14542,0.37964794,-5.8378315,31.176577,589,train,31.176577
-81.26152,23.47682,-0.16668451,18.840824,-33.176456,1.1843027,46.102146,37.37633,1106,train,37.37633
13.892317,16.84916,-0.120370895,-19.19196,87.04699,-26.096756,1.6091504,25.925674,906,train,25.925674
